#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 240  0.790177  3.6980  2.0524  2.0288  1.7252  0.3520 -0.2767 -0.5133 -0.6331
 241  0.790230  3.6975  2.0308  2.0483  1.6862  0.3069 -0.3252 -0.5631 -0.6838
 242  0.790282  3.6959  1.9872  2.0856  1.6200  0.2249 -0.4157 -0.6569 -0.7800
 243  0.790329  3.6939  1.9370  2.1277  1.5498  0.1337 -0.5174 -0.7627 -0.8890
 244  0.790373  3.6920  1.8900  2.1672  1.4859  0.0488 -0.6122 -0.8617 -0.9909
 245  0.790413  3.6905  1.8511  2.1998  1.4348 -0.0211 -0.6905 -0.9433 -1.0750
 246  0.790452  3.6895  1.8269  2.2205  1.4043 -0.0650 -0.7398 -0.9947 -1.1278
 247  0.790489  3.6882  1.7924  2.2496  1.3594 -0.1274 -0.8095 -1.0674 -1.2027
 248  0.790524  3.6860  1.7395  2.2938  1.2934 -0.2203 -0.9148 -1.1777 -1.3165
 249  0.790556  3.6839  1.6877  2.3371  1.2314 -0.3112 -1.0182 -1.2859 -1.4281
 250  0.790586  3.6818  1.6359  2.3805  1.1719 -0.4015 -1.1213 -1.3940 -1.5396
 251  0.790612  3.6797  1.5855  2.4225  1.1163 -0.4885 -1.2211 -1.4988 -1.6478
 252  0.790635  3.6777  1.5374  2.4625  1.0677 -0.5698 -1.3155 -1.5982 -1.7506
 253  0.790656  3.6757  1.4908  2.5012  1.0232 -0.6478 -1.4064 -1.6942 -1.8498
 254  0.790677  3.6737  1.4449  2.5392  0.9812 -0.7234 -1.4954 -1.7883 -1.9473
 255  0.790695  3.6716  1.3995  2.5765  0.9443 -0.7960 -1.5820 -1.8804 -2.0429
 256  0.790711  3.6696  1.3551  2.6127  0.9111 -0.8656 -1.6659 -1.9698 -2.1359
 257  0.790726  3.6675  1.3113  2.6484  0.8803 -0.9335 -1.7485 -2.0580 -2.2277
 258  0.790740  3.6655  1.2683  2.6833  0.8532 -0.9987 -1.8286 -2.1438 -2.3171
 259  0.790753  3.6636  1.2261  2.7175  0.8289 -1.0619 -1.9069 -2.2278 -2.4048
 260  0.790766  3.6616  1.1849  2.7509  0.8077 -1.1224 -1.9825 -2.3092 -2.4899
 261  0.790777  3.6596  1.1442  2.7838  0.7890 -1.1814 -2.0568 -2.3893 -2.5738
 262  0.790787  3.6577  1.1041  2.8161  0.7733 -1.2382 -2.1292 -2.4677 -2.6560
 263  0.790797  3.6557  1.0649  2.8474  0.7614 -1.2922 -2.1990 -2.5436 -2.7358
 264  0.790806  3.6538  1.0262  2.8784  0.7529 -1.3440 -2.2670 -2.6179 -2.8141
 265  0.790815  3.6519  0.9883  2.9085  0.7465 -1.3938 -2.3331 -2.6903 -2.8905
